time,open,high,low,close,Volume,Volume MA
1675789200,1639.01,1674.56,1629.75,1670.65,4501.12542852,1095.7062896410014
1675792800,1670.66,1677.3,1626,1637.34,8378.92474338,1460.6066272515013
1675796400,1637.45,1656.86,1637.45,1656,2458.63244127,1428.3430938450015
1675800000,1656,1668.39,1652.4,1665.98,2001.87107896,1442.9624953645014
1675803600,1665.6,1673.29,1665,1667.49,1315.52853086,1488.3500797365014
1675807200,1667.85,1671,1658.31,1666.01,930.09566403,1511.0356158905013
1675810800,1666.01,1676,1666.01,1672.4,2165.94950825,1610.1271234635012
1675814400,1672,1689,1669.2,1688,3330.18493835,1731.3258001630013
1675818000,1688.01,1698,1680.14,1682.64,2445.55751758,1838.2571708805012
1675821600,1682.22,1683.84,1676.36,1676.57,474.25200679,1855.5005014325009
1675825200,1677.04,1683.25,1676.48,1681.36,464.84547394,1873.3548165465006
1675828800,1681.47,1683.02,1678.84,1679.28,203.68082996,1864.604692134501
1675832400,1679.67,1679.67,1672.83,1676.13,165.44125444,1829.3611469000007
1675836000,1676.1,1677.55,1672.76,1674.14,189.33002058,1804.3423412415007
1675839600,1673.81,1678.37,1673.15,1677.61,263.61631181,1762.0464573620006
1675843200,1677.61,1678,1670.01,1673.71,1507.07401785,1800.8890722090007
1675846800,1673.63,1674.71,1670.51,1672.62,349.35749458,1768.6759230715008
1675850400,1672.64,1672.65,1668.41,1671.04,325.31116234,1733.7651105430007
1675854000,1671.03,1676.34,1670.48,1674.01,1152.03811492,1669.2359149840006
1675857600,1674.25,1677,1670.13,1671.97,298.54319708,1646.0679867745007
1675861200,1672.11,1676.63,1670,1674.2,467.1245185,1444.3679412735005
1675864800,1674.2,1681.85,1664,1671,1112.14194816,1081.0288015125004
1675868400,1671,1672.21,1650.71,1652,5070.37732016,1211.6160454570004
1675872000,1652,1654.55,1630.77,1653.24,3747.78867818,1298.9119254180002
1675875600,1653.07,1659.53,1647.23,1657.5,943.83171851,1280.3270848005002
1675879200,1657.5,1659.77,1642.15,1645.05,1048.88076444,1286.2663398210002
1675882800,1645.45,1650.75,1642.94,1647.69,591.48301005,1207.5430149110002
1675886400,1647.61,1648.99,1638.6,1642.4,1083.65280064,1095.2164080255002
1675890000,1642.4,1655.04,1640.5,1652.8,651.89917252,1005.5334907725003
1675893600,1652.65,1654,1648.72,1650.74,1305.4335015800002,1047.0925655120002
1675897200,1650.73,1652.68,1642.95,1652.58,282.58827655000005,1037.9797056425
